featureID	kingdom	phylum	class	order	family	genus	species
OTU_1	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	magnetospirillum	magnetospirillum sp.
OTU_2	bacteria	verrucomicrobia	opitutae	opitutales	opitutaceae	opitutus	opitutus spp.
OTU_3	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodopseudomonas	rhodopseudomonas palustris
OTU_4	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas oryzae
OTU_5	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodoblastus	rhodoblastus acidophilus
OTU_6	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	magnetospirillum	magnetospirillum sp.
OTU_7	bacteria	proteobacteria	gammaproteobacteria	enterobacteriales	enterobacteriaceae	citrobacter	citrobacter werkmanii
OTU_8	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_9	bacteria	firmicutes	clostridia	clostridiales	eubacteriaceae	eubacterium	eubacterium sp.
OTU_10	bacteria	bacteroidetes	cytophagia	cytophagales	cytophagaceae	pontibacter	pontibacter spp.
OTU_11	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	acetobacteraceae	acetobacter	acetobacter spp.
OTU_12	bacteria	bacteroidetes	bacteroidia	bacteroidales	porphyromonadaceae	paludibacter	paludibacter propionicigenes
OTU_13	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_14	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	hyphomicrobiaceae	ancalomicrobium	ancalomicrobium spp.
OTU_15	bacteria	spirochaetes	spirochaetia	spirochaetales	spirochaetaceae	spirochaeta	spirochaeta spp.
OTU_16	bacteria	proteobacteria	betaproteobacteria	rhodocyclales	rhodocyclaceae	rhodocyclus	rhodocyclus tenuis
OTU_17	bacteria	bacteroidetes	flavobacteriia	flavobacteriales	flavobacteriaceae	cloacibacterium	cloacibacterium normanense
OTU_18	bacteria	proteobacteria	gammaproteobacteria	pseudomonadales	pseudomonadaceae	pseudomonas	pseudomonas veronii
OTU_19	bacteria	firmicutes	bacilli	lactobacillales	streptococcaceae	streptococcus	streptococcus salivarius
OTU_20	bacteria	actinobacteria	actinobacteria	actinomycetales	nocardioidaceae	propionicimonas	propionicimonas paludicola
OTU_21	bacteria	proteobacteria	gammaproteobacteria	xanthomonadales	xanthomonadaceae	stenotrophomonas	stenotrophomonas spp.
OTU_22	bacteria	firmicutes	clostridia	clostridiales	ruminococcaceae	ruminococcus	ruminococcus spp.
